,French,English
0,de,of
1,je,I
2,est,is
3,pas,not
4,le,the
5,toi,you
6,le,the
7,toi,you
8,ça/que,that/than
9,un,a
10,il/elle,he/it
11,et,and
12,à,at
13,avoir,have
14,né,born
15,le,the
16,ce,this
17,dans,in
18,nous,we
19,il,it
20,un,a
21,avoir,have
22,pour,for
23,de la,of the
24,moi,me
25,OMS,who
26,nous,we
27,mais,but
28,là,there
29,moi,me
30,dans,in
31,de la,of the
32,bien,good
33,elle,she
34,si,if
35,tous,all
36,plus,more
37,Non,no
38,mon,my
39,suis,am
40,toi,you
41,au/au,to the/at the
42,avec,with
43,Oui,yes
44,aller,go
45,toi,you
46,fait/fait/fait,fact/do/done
47,ils,they
48,as,ace
49,être,be
50,faire,make
51,se,himself
52,comme,as
53,était,was
54,bien sûr,sure
55,quoi,what
56,juste ici,right here
57,savoir,know
58,lui,him
59,vouloir,want
60,mon,my
61,le,the
62,rien,nothing
63,dit/dire,said/say
64,sont,are
65,où,where
66,ton,your
67,Pourquoi,Why
68,sont,are
69,ce,this
70,quand,when
71,par,by
72,son,his
73,ton,your
74,peut,can
75,donc,so
76,dire,say
77,je vais,am going to
78,comment,how
79,avoir,have
80,bien,good
81,ou,or
82,très,very
83,même,even
84,merci,thank you
85,avoir,have
86,jamais,never
87,aussi,also
88,chose,thing
89,voir,see
90,en allant,going
91,tous,all
92,ces,these
93,deux,two
94,son,her
95,doit,must
96,été,summer
97,sont,are
98,ton,your
99,avoir,to have
100,faire,do
101,peut,can
102,autre,other
103,maintenant,now
104,encore/encore,still/again
105,petit,little
106,vraiment,really
107,moi,me
108,mon,my
109,temps,time
110,toujours,always
111,notre,our
112,vie,life
113,Oh,Oh
114,juste,just
115,sans,without
116,avait,had
117,quelques,some
118,monde,world
119,accord,agreement
120,vu,seen
121,temps,time
122,aller,go
123,trop,too much
124,viens,come
125,pense,think
126,devoir,have to
127,père,father
128,Dieu,God
129,homme,man
130,bien sûr,sure
131,le,the
132,leur,their
133,avant,before
134,était,was
135,besoin,need
136,épouse,wife
137,personne,no one
138,avait,had
139,amour,love
140,dans/à la maison de,in/at the house of
141,VRAI,TRUE
142,années,years
143,son,his
144,faux,wrong
145,parler,speak
146,ton,your
147,après,after
148,la mort,death
149,ça/cela,it/that
150,avait,had
151,veut,wants
152,que parce que,que because
153,sera,will be
154,mieux,better
155,bien,good
156,petit,small
157,ton,your
158,dire,tell
159,beaucoup,a lot
160,gentilhomme,gentleman
161,ici,here
162,depuis,since
163,doit,must
164,mère,mother
165,quoi/quoi,what/which
166,en allant,going
167,voir,see
168,fille,girl
169,déjà,already
170,personnes,people
171,donc,so
172,jour,day
173,il,it
174,autre,other
175,soirée,evening
176,tous,all
177,Ouais,yeah
178,argent,money
179,maison,house
180,nom,name
181,Bonjour,hello
182,pensée,thought
183,notre,our
184,il,it
185,nuit,night
186,avoir,have
187,ii,ii
188,merde,sh*t
189,ce,this
190,papa,dad
191,maman,mom
192,rester,stay
193,peur,fear
194,Désolé,sorry
195,Bonjour,hello
196,seul,alone
197,viens,come
198,rapide,quick
199,prendre,take
